time,q,r,r_0,omega,omega_0,h22_real,h22_imag,phi
-2934.099999991835,1.8,14.089160143140546,15.577137628831402,0.018908900150690577,0.016265233663282044,-0.022968382292763965,0.09417661104746876,27.36932755002369
-2930.299999991821,1.8,14.085118274264492,15.577137628831402,0.018917040115871142,0.016265233663282044,-0.009238970341435783,0.09647132148557272,27.44119676974771
-2926.4999999918073,1.8,14.081040526489549,15.577137628831402,0.01892525825761293,0.016265233663282044,0.004680120432939668,0.09677604432433164,27.513097054904833
-2922.6999999917934,1.8,14.076922434800036,15.577137628831402,0.018933563747436377,0.016265233663282044,0.018502137756253104,0.09508381063396662,27.58502873250609
-2918.8999999917796,1.8,14.072762622404687,15.577137628831402,0.018941959549876763,0.016265233663282044,0.03194236949914593,0.09142866647784166,27.656992139385874
-2914.9999999917654,1.8,14.06844910244737,15.577137628831402,0.01895067213711865,0.016265233663282044,0.045048959946285085,0.08571444420451077,27.73088267632777
-2911.1999999917516,1.8,14.064201848374903,15.577137628831402,0.018959257406036656,0.016265233663282044,0.05688075693718836,0.07835010917753067,27.80291144995184
-2907.399999991738,1.8,14.059909331799076,15.577137628831402,0.018967940755242108,0.016265233663282044,0.06753959834791656,0.06936374288193874,27.874973032614175
-2903.599999991724,1.8,14.055572105630823,15.577137628831402,0.01897672128165917,0.016265233663282044,0.07680510866971572,0.05893874460076284,27.947067799692203
-2899.79999999171,1.8,14.051213254846836,15.577137628831402,0.018985552413119056,0.016265233663282044,0.08448509503760603,0.04728804112349069,28.019196114355307
-2895.9999999916963,1.8,14.0468730673486,15.577137628831402,0.018994352539727366,0.016265233663282044,0.09041938571272803,0.03464990203498724,28.091357998032432
-2892.1999999916825,1.8,14.04256972647681,15.577137628831402,0.019003084670210058,0.016265233663282044,0.09448312061451432,0.02128321582693544,28.163553193657762
-2888.3999999916687,1.8,14.038302988153196,15.577137628831402,0.019011749135764866,0.016265233663282044,0.09658936460141329,0.007462305589494459,28.235781441526555
-2884.599999991655,1.8,14.03407237106576,15.577137628831402,0.019020346752497197,0.016265233663282044,0.09669094549982146,-0.00652852762775299,28.3080424870901
-2880.799999991641,1.8,14.029877670453974,15.577137628831402,0.01902887777789397,0.016265233663282044,0.09478155070726904,-0.020400666351621036,28.38033607684606
-2876.999999991627,1.8,14.025718751019868,15.577137628831402,0.019037342330328944,0.016265233663282044,0.09089602916156311,-0.03386695466245723,28.45266195820262
-2873.1999999916134,1.8,14.021595716045585,15.577137628831402,0.019045740043944104,0.016265233663282044,0.08510990273265741,-0.046647485375804626,28.525019878557085
-2869.3999999915995,1.8,14.017498313832492,15.577137628831402,0.01905409166730454,0.016265233663282044,0.0775380866624202,-0.05847529673853054,28.59740958253712
-2865.5999999915857,1.8,14.013377317469503,15.577137628831402,0.019062497540033974,0.016265233663282044,0.06833279600733462,-0.06910189163223471,28.669830975229125
-2861.799999991572,1.8,14.009185352009093,15.577137628831402,0.019071054515923613,0.016265233663282044,0.05768063473311275,-0.07830246515928717,28.742284563841906
-2857.999999991558,1.8,14.004914387594368,15.577137628831402,0.019079779336550917,0.016265233663282044,0.045799093322984916,-0.0858805831111201,28.814770989550674
-2854.1999999915442,1.8,14.00056556089999,15.577137628831402,0.019088670053353685,0.016265233663282044,0.032932373371101775,-0.09167243051936201,28.887290886800223
-2850.3999999915304,1.8,13.996140155338699,15.577137628831402,0.01909772441771329,0.016265233663282044,0.019346592875228722,-0.09555047915376594,28.959844881956688
-2846.5999999915166,1.8,13.99163952294551,15.577137628831402,0.01910694003946034,0.016265233663282044,0.005324475790189218,-0.09742647753055367,29.03243359237537
-2842.799999991503,1.8,13.987065060251535,15.577137628831402,0.01911631443541939,0.016265233663282044,-0.008840387684544142,-0.09725367676799276,29.105057626257118
-2838.999999991489,1.8,13.982419405411774,15.577137628831402,0.01912584257236949,0.016265233663282044,-0.022849605941597337,-0.09502824380201325,29.177717582085087
-2835.199999991475,1.8,13.977733026627877,15.577137628831402,0.019135462255141178,0.016265233663282044,-0.03640625201257059,-0.09078975708140015,29.250414029807654
-2831.4999999914617,1.8,13.973185913868809,15.577137628831402,0.019144803778184283,0.016265233663282044,-0.048895758772982294,-0.08480695390587467,29.321232598054884
-2827.699999991448,1.8,13.968562635251644,15.577137628831402,0.019154309570103667,0.016265233663282044,-0.06072385305518844,-0.07687759353580122,29.394001000752244
-2823.899999991434,1.8,13.963988376515147,15.577137628831402,0.01916372231753627,0.016265233663282044,-0.07128650930245692,-0.06730122911239263,29.466805350788203
-2820.1999999914206,1.8,13.959583095949366,15.577137628831402,0.01917279463702526,0.016265233663282044,-0.08013630043617818,-0.05658378873511421,29.537727993890645
-2816.3999999914067,1.8,13.955109532044789,15.577137628831402,0.019182014908091016,0.016265233663282044,-0.08755683728310336,-0.04437195291824183,29.610602225306454
-2812.599999991393,1.8,13.950687482279765,15.577137628831402,0.019191136270499065,0.016265233663282044,-0.09312440129647317,-0.031195431553744383,29.683511307192667
-2808.8999999913794,1.8,13.946432462133641,15.577137628831402,0.01919991992717973,0.016265233663282044,-0.0966461119626643,-0.0177055617383223,29.75453485211713
-2805.0999999913656,1.8,13.942111952157862,15.577137628831402,0.01920884563248748,0.016265233663282044,-0.09823147578354453,-0.0034628388829552044,29.827511591899402
-2801.299999991352,1.8,13.937824513322797,15.577137628831402,0.01921770985467841,0.016265233663282044,-0.09772009540893116,0.010870304586192623,29.900522078924567
-2797.5999999913383,1.8,13.933664829771203,15.577137628831402,0.019226316462053195,0.016265233663282044,-0.0952136334061642,0.02461923960800606,29.97164354269248
-2793.7999999913245,1.8,13.929404079687139,15.577137628831402,0.01923513884334138,0.016265233663282044,-0.09062720488235801,0.03822902420152511,30.04472032385554
-2789.9999999913107,1.8,13.925154666880067,15.577137628831402,0.01924394447153599,0.016265233663282044,-0.0840968703240966,0.051029552165061054,30.117830597902408
-2786.299999991297,1.8,13.921027876386008,15.577137628831402,0.01925250243405463,0.016265233663282044,-0.076001970362094,0.062451373416576,30.18904903923407
-2782.4999999912834,1.8,13.916800286686568,15.577137628831402,0.01926127600869787,0.016265233663282044,-0.06607841267337122,0.07286301125868257,30.262225232721967
-2778.79999999127,1.8,13.912693936446274,15.577137628831402,0.01926980435480985,0.016265233663282044,-0.055049208269849624,0.08150312271261795,30.333507744236876
